anio,pais,importacion
2006,Ecuador,452544.87
2007,Ecuador,3473355.62
2008,Ecuador,12718.28
2009,Costa Rica,181.34
2009,Ecuador,157478.73
2010,Ecuador,28518.77
2012,Ecuador,9858.77
