anio,pais,exportacion
2007,Sudáfrica,888657.73
2007,Suecia,1166836.35
2007,Suiza,180804.08
2007,Surinam,50270.01
2007,Swazilandia,11020
2007,Tailandia,227709.32
2007,Taiwán, Provincia de China,932344.04
2007,Trinidad y Tobago,1062687.94
2007,Turquía,164266.6
2007,Uruguay,1270709.34
2007,Venezuela,2216618987
2007,Vietnam,257692.24
2007,Vírgenes (británicas), Islas,23823.03
2007,Vírgenes (de los Estados Unidos), Islas,948121.93
2007,ZFP Barranquilla,6866210.17
2007,ZFP Bogotá,2675677.15
2007,ZFP Cucuta,65172534.76
2007,ZFP Pacifico,457755.67
2007,ZFP Palmaseca,2437795.95
2007,ZFP Rionegro,13059028.86
2007,ZFP Santa Marta,26485.14
2008,Afganistán,14513.53
2008,Alemania,19761228.75
2008,Andorra,1205.94
2008,Angola,23285.02
2008,Anguila,11290.53
2008,Antigua y Barbuda,6355.93
2008,Antillas Holandesas,1694941.34
2008,Arabia Saudita,82726.9
2008,Argentina,6980469.78
2008,Aruba,2008550.64
2008,Australia,744353.49
2008,Austria,283169.94
2008,Bahamas,59876.12
2008,Bahrein,18.52
2008,Bangla Desh,69393.4
2008,Barbados,62916.66
2008,Bélgica,1556480.96
2008,Belice,6753.67
2008,Bolivia,7283876.88
2008,Brasil,30534611.87
2008,Bulgaria,883192.74
2008,Caimán, Islas,54377.26
2008,Camerún,2.16
2008,Canadá,11438009.42
2008,Chile,41925130.62
2008,China,2304867.2
2008,Chipre,43541.13
2008,Colombia,602745.1
2008,Congo,1.08
2008,Corea,320070.31
2008,Corea, República Democrática,221.27
2008,Costa Rica,53742507.57
2008,Cuba,1022012.23
2008,Dinamarca,11275484.88
2008,Dominica,5502.97
2008,Ecuador,274569953.4
2008,Egipto,9084.56
2008,El Salvador,2787527.31
2008,Emiratos Árabes Unidos,688570.8
2008,Eslovaquia,1319277.62
2008,España,11879452.3
2008,Estados Unidos,595993394.2
2008,Estonia,91725.67
2008,Filipinas,397482.15
2008,Finlandia,51191.93
2008,Francia,19678499.81
2008,Gabón,1.27
2008,Georgia,35790.85
2008,Ghana,1.09
2008,Granada,223.7
2008,Grecia,177438.34
2008,Guadalupe,63563.65
2008,Guatemala,12572935.85
2008,Guayana Francesa,1581.49
2008,Guyana,178.06
2008,Haití,336238.71
2008,Honduras,4582773
2008,Hong Kong,5917993.97
2008,Hungría,1.93
2008,India,177354.83
2008,Indonesia,516283.89
2008,Irán, República Islámica de,21214.35
2008,Irlanda,30138.57
2008,Islandia,4325.21
2008,Israel,624508.16
2008,Italia,11375571.13
2008,Jamaica,705669.78
2008,Japón,870262.19
2008,Jordania,4081.23
2008,Kenia,23061.46
2008,Kuwait,185743.78
2008,Letonia,37512.31
2008,Líbano,197752.69
2008,Malasia,76060.67
2008,Malta,23940.26
2008,Martinica,1167877.73
2008,México,247185687.3
2008,Mónaco,13246.13
2008,Nicaragua,442348.8
2008,Nigeria,7807.14
2008,Noruega,36218.29
2008,Nueva Zelandia,68786.2
2008,Países Bajos,2161334.01
2008,Países no precisados en otra parte y desconocidos,527412.04
2008,Panamá,35549841.46
2008,Paraguay,72484.34
2008,Perú,87038247.39
2008,Polonia,1060290.11
2008,Portugal,240744.55
2008,Puerto Rico,27325249.72
2008,Reino Unido,12199407.24
2008,República Checa,104042.21
2008,República Dominicana ,10190701.47
2008,Reunión,986.18
2008,Rusia, Federación de,202756.42
2008,San Vicente y las Granadinas,3189.14
2008,Santa Lucia,21804.4
2008,Serbia y Montenegro,120707.63
2008,Singapur,31641.65
2008,Siria, República Árabe,2662.93
2008,Sri Lanka,1519955
2008,Sudáfrica,937594.15
2008,Suecia,1331700.33
2008,Suiza,457913.56
2008,Surinam,201266.43
2008,Tailandia,308178.6
2008,Taiwán, Provincia de China,237290.7
2008,Trinidad y Tobago,812705.63
2008,Turcas y Caicos, Islas,255.91
2008,Turquía,74639.55
2008,Ucrania,20037.61
2008,Uganda,33604.66
2008,Uruguay,932083.5
2008,Venezuela,2372129452
2008,Vietnam,71132.94
2008,Vírgenes (británicas), Islas,7737.42
2008,Vírgenes (de los Estados Unidos), Islas,3835.42
2008,ZFP Barranquilla,6228251.16
2008,ZFP Bogotá,35777952.97
2008,ZFP Candelaria,1011881.94
2008,ZFP Cucuta,41321529.64
2008,ZFP Pacifico,147370.45
2008,ZFP Palmaseca,2730622.39
2008,ZFP Rionegro,6463495.59
2008,ZFP Santa Marta,16713.08
2008,ZFPE BIO D,12672.31
2009,Alemania,29247422.08
2009,Angola,20316.57
2009,Antigua y Barbuda,718.56
2009,Antillas Holandesas,2046372.19
2009,Arabia Saudita,32276.93
2009,Argentina,8456698.57
2009,Armenia,49800.85
2009,Aruba,2172043.7
2009,Australia,2063463.47
2009,Austria,46050.14
2009,Bahamas,424939.97
2009,Bangla Desh,222.78
2009,Barbados,135211.53
2009,Bélgica,717183.62
2009,Belice,3763.28
2009,Bolivia,9444804.59
2009,Brasil,26126272.14
2009,Canadá,10237398.66
2009,Centroafricana, Republica,12273.09
2009,Chile,32406927.9
2009,China,185908.43
2009,Chipre,176907.24
2009,Colombia,395819.59
2009,Congo,21906.47
2009,Corea,553862.69
2009,Costa de Marfil,3831.55
2009,Costa Rica,45793195.06
2009,Cuba,1660580.92
2009,Dinamarca,6212085.79
2009,Dominica,56921.25
2009,Ecuador,242492772.4
2009,El Salvador,3108927.61
2009,Emiratos Árabes Unidos,766446.81
2009,Eslovaquia,81798.28
2009,Eslovenia,20987.83
2009,España,14582372.21
2009,Estados Unidos,459231584.7
2009,Estonia,11549.01
2009,Feroe, Islas,24346.41
2009,Filipinas,446039.4
2009,Finlandia,135.17
2009,Francia,15087736.49
2009,Gabón,29.96
2009,Ghana,7.5
2009,Granada,40.49
2009,Grecia,132304.94
2009,Guadalupe,725.83
2009,Guatemala,15679944.25
2009,Guayana Francesa,14985.08
2009,Guinea Ecuatorial,1.95
2009,Guyana,2006.87
2009,Haití,149673.34
2009,Honduras,2465713.89
2009,Hong Kong,4848119.4
2009,Hungría,19731.96
2009,India,200096.38
2009,Indonesia,681485.83
2009,Irlanda,66680.87
2009,Islandia,4959.34
2009,Israel,225327.39
2009,Italia,7265861.75
2009,Jamaica,759330.08
2009,Japón,635323.14
2009,Jordania,347219.06
2009,Kenia,164274.82
2009,Kuwait,71607.91
2009,Letonia,9928.53
2009,Líbano,422493.8
2009,Malasia,160144.74
2009,Malta,7494.13
2009,Martinica,447045.37
2009,Mauricio,23908.53
2009,Mauritania,87.98
2009,México,202042295.5
2009,Mónaco,146031.97
2009,Nicaragua,356398.43
2009,Nigeria,3867.99
2009,Noruega,329601.48
2009,Nueva Zelandia,123283.46
2009,Países Bajos,4930093.77
2009,Panamá,29985794.57
2009,Paraguay,45340.82
2009,Perú,88992539.42
2009,Polonia,628449.32
2009,Portugal,230444.51
2009,Puerto Rico,24821306.5
2009,Reino Unido,11769236.45
2009,República Checa,161513.02
2009,República Dominicana ,8977981.77
2009,Reunión,477333.11
2009,Rusia, Federación de,238169.85
2009,San Cristóbal y Nieves,26.9
2009,San Vicente y las Granadinas,7008.31
2009,Santa Lucia,43142.13
2009,Serbia y Montenegro,52462.73
2009,Singapur,98193.46
2009,Siria, República Árabe,30339.38
2009,Sri Lanka,1306870.72
2009,Sudáfrica,580691.12
2009,Suecia,1536705.25
2009,Suiza,949013.51
2009,Surinam,102222.55
2009,Tailandia,312635.03
2009,Taiwán, Provincia de China,375984.81
2009,Trinidad y Tobago,441146.15
2009,Turcas y Caicos, Islas,3949.51
2009,Turquía,208854.9
2009,Ucrania,15919.84
2009,Uganda,76750.03
2009,Uruguay,794457.97
2009,Venezuela,1282179770
2009,Vietnam,424916.28
2009,Vírgenes (británicas), Islas,2231.73
2009,Yemen,77.67
2009,ZFP Barranquilla,1298228.51
2009,ZFP Bogotá,890384.05
2009,ZFP Candelaria,5654440.84
2009,ZFP Cucuta,21239844.26
2009,ZFP Eje Cafetero,750732.23
2009,ZFP Pacifico,19122.42
2009,ZFP Palmaseca,768968.54
2009,ZFP Rionegro,9879632.15
2009,ZFP Santa Marta,7491.55
2009,ZFPE BIO D,1144.47
2010,Afganistán,949.42
2010,Alemania,23094969.24
2010,Angola,69784.11
2010,Antigua y Barbuda,10477.38
2010,Antillas Holandesas,1930940.75
2010,Arabia Saudita,37168.42
2010,Argentina,8801190.86
2010,Armenia,3965.86
2010,Aruba,2047536.84
2010,Australia,800071.55
2010,Austria,117779.14
2010,Azerbaiyán,6405.39
2010,Bahamas,232749.96
2010,Bahrein,18.4
2010,Bangla Desh,154248.84
2010,Barbados,155913.3
2010,Bélgica,2498531.01
2010,Belice,77669.92
2010,Bermudas,2021.62
2010,Bolivia,7824929.02
2010,Brasil,37609902.7
2010,Bulgaria,829.49
2010,Caimán, Islas,27631.41
2010,Camboya,659750.3
2010,Canadá,9627356.89
2010,Chile,34127966.71
2010,China,536468.64
2010,Chipre,122868.89
2010,Congo,28.04
2010,Corea,160488.22
2010,Costa de Marfil,8280.79
2010,Costa Rica,47972532.42
2010,Cuba,740504.03
2010,Dinamarca,8622024.17
2010,Dominica,2393.34
2010,Ecuador,307202634.3
2010,Egipto,6965.11
2010,El Salvador,3766066.26
2010,Emiratos Árabes Unidos,638708.76
2010,Eslovaquia,24482.29
2010,Eslovenia,34146.7
2010,España,19956241.53
2010,Estados Unidos,474805939.8
2010,Estonia,33503.55
2010,Feroe, Islas,426977.08
2010,Filipinas,329106.1
2010,Finlandia,42.42
2010,Francia,21197429.46
2010,Georgia,25661.1
2010,Ghana,174.02
2010,Granada,236.08
2010,Grecia,218227.64
2010,Guadalupe,17454.26
2010,Guatemala,29748183.79
2010,Guayana Francesa,23009.16
2010,Guyana,12752.74
2010,Haití,456450.14
2010,Honduras,4244874.45
2010,Hong Kong,5007254.54
2010,Hungría,23892.63
2010,India,726882.31
2010,Indonesia,454965.37
2010,Irlanda,65746.01
2010,Israel,450721.93
2010,Italia,7796199.93
2010,Jamaica,332738.26
2010,Japón,328528
2010,Jordania,755379.87
2010,Kenia,53499.5
2010,Kuwait,68536.76
2010,Laos, República Popular Democrática,5772.73
2010,Letonia,38882.56
2010,Líbano,252888.64
2010,Lituania,5605.15
2010,Malasia,192981.93
2010,Malta,16114.58
2010,Martinica,45985.26
2010,Mauricio,55921.8
2010,Mauritania,0.09
2010,México,202818193
2010,Mónaco,416242.41
2010,Mozambique,15.05
2010,Nicaragua,373709.47
2010,Nigeria,19322.94
2010,Noruega,645189.15
2010,Nueva Zelandia,357703.05
2010,Países Bajos,4792242.78
2010,Panamá,30646156.39
2010,Paraguay,426631.53
2010,Perú,145828784.4
2010,Pitcairn,4275.82
2010,Polonia,821640.34
2010,Portugal,666613.49
2010,Puerto Rico,20391946.42
2010,Qatar,56174.9
2010,Reino Unido,9657347.63
2010,República Checa,10048.2
2010,República Dominicana ,10045569.84
2010,Reunión,897.45
2010,Rusia, Federación de,171643.44
2010,San Cristóbal y Nieves,230.6
2010,San Vicente y las Granadinas,27885.81
2010,Santa Lucia,23260.8
2010,Senegal,340.64
2010,Singapur,55758.5
2010,Sri Lanka,152855.4
2010,Sudáfrica,136908.19
2010,Sudan,96140.98
2010,Suecia,1328179.11
2010,Suiza,1162960.48
2010,Surinam,99198.58
2010,Swazilandia,7249.92
2010,Tailandia,825433.03
2010,Taiwán, Provincia de China,398925.59
2010,Trinidad y Tobago,936687.7
2010,Túnez,3414.16
2010,Turcas y Caicos, Islas,5911.36
2010,Turquía,1487104.47
2010,Ucrania,6636.24
2010,Uganda,27606.32
2010,Uruguay,596364.73
2010,Venezuela,489636729.5
2010,Vietnam,188524.06
2010,ZFP Barranquilla,1268049.51
2010,ZFP Bogotá,800724.03
2010,ZFP Candelaria,6441890.61
2010,ZFP Pacifico,244641.32
2010,ZFP Palmaseca,869218.4
2010,ZFP Rionegro,1729537.64
2010,ZFPE BIO D,803.33
2011,Alemania,15145533.79
2011,Angola,32017.33
2011,Anguila,25.8
2011,Antigua y Barbuda,20755.86
2011,Antillas Holandesas,2746714.8
2011,Arabia Saudita,36478.46
2011,Argentina,11427371.07
2011,Armenia,3245.63
2011,Aruba,1712298.5
2011,Australia,788543.02
2011,Austria,166646.22
2011,Bahamas,394036.71
2011,Bahrein,5588.15
2011,Bangla Desh,17127.81
2011,Barbados,105752.03
2011,Belarús,4845.49
2011,Bélgica,1614503.81
2011,Belice,12127.91
2011,Bermudas,5358.64
2011,Bolivia,9128648.35
2011,Brasil,45991486.37
2011,Bulgaria,2087.06
2011,Caimán, Islas,61351.8
2011,Camboya,1671877.45
2011,Canadá,9032898.6
2011,Chile,46366019.78
2011,China,2430814.85
2011,Chipre,142785.14
2011,Congo,144.38
2011,Corea,217723.88
2011,Costa Rica,62819637.04
2011,Cuba,4710886.29
2011,Dinamarca,9864665
2011,Dominica,424.63
2011,Ecuador,362457066.5
2011,El Salvador,8121065.86
2011,Emiratos Árabes Unidos,617559.46
2011,Eslovaquia,52434.03
2011,Eslovenia,148069.9
2011,España,22205833.17
2011,Estados Unidos,439239712.3
2011,Estonia,44563.9
2011,Filipinas,335386.14
2011,Finlandia,34318.5
2011,Francia,14701821.22
2011,Gabón,10.31
2011,Georgia,246798.43
2011,Ghana,263139.5
2011,Granada,113.5
2011,Grecia,309131.3
2011,Guadalupe,41135.58
2011,Guatemala,14547573.29
2011,Guayana Francesa,12167.18
2011,Guinea Ecuatorial,27.45
2011,Guyana,6610.79
2011,Haití,345191.25
2011,Honduras,3418197.84
2011,Hong Kong,5074613.42
2011,India,592353.62
2011,Indonesia,214385.89
2011,Irlanda,75526.51
2011,Israel,193057.46
2011,Italia,9421595.16
2011,Jamaica,572361.12
2011,Japón,2714731.16
2011,Jordania,223757.1
2011,Kirguistan,7568.5
2011,Kuwait,1335595.48
2011,Letonia,196061.37
2011,Líbano,277816.98
2011,Lituania,163288.96
2011,Malasia,86529.48
2011,Malta,37366.89
2011,Marruecos,73737.27
2011,Martinica,190053.7
2011,Mauricio,185244.45
2011,Mauritania,4524.68
2011,México,228381525.3
2011,Mónaco,207242.27
2011,Nicaragua,476207.34
2011,Níger,2624.24
2011,Nigeria,4133.67
2011,Noruega,881883.1
2011,Nueva Caledonia,6020.91
2011,Nueva Zelandia,566936.28
2011,Países Bajos,16966872.51
2011,Panamá,56315530.8
2011,Paraguay,298470.77
2011,Perú,182350026
2011,Polonia,1792182.63
2011,Portugal,706732.49
2011,Puerto Rico,15127555.42
2011,Qatar,392144.84
2011,Reino Unido,11233722.57
2011,República Checa,390739.81
2011,República Dominicana ,9363022.01
2011,Reunión,26360.74
2011,Rusia, Federación de,264762.24
2011,San Cristóbal y Nieves,79.05
